District,Postcode,Population,Latitude,Longitude
Bang Bon,10150,105161,13.6592043,100.3991408
Bang Kapi,10240,148465,13.7627585,100.6455972
Bang Khae,10160,191781,13.7097613,100.3958909
Bang Khen,10220,189539,13.864387,100.6146434
Bang Kho Laem,10120,94956,13.6896155,100.5094777
Bang Khun Thian,10150,165491,13.6423982,100.4106328
Bang Na,10260,95912,13.663853,100.6132453
Bang Phlat,10700,99273,13.7845903,100.4945447
Bang Rak,10500,45875,13.7262438,100.5281812
Bang Sue,10800,132234,13.828253,100.5284507
Bangkok Noi,10700,117793,13.7548478,100.4693893
Bangkok Yai,10600,72321,13.7293581,100.474136
Bueng Kum,10240,145830,13.8038424,100.6474732
Chatuchak,10900,160906,13.8306588,100.5575633
Chom Thong,10150,158005,13.6990816,100.4672739
Din Daeng,10400,130220,13.7604677,100.5548638
Don Mueang,10210,166261,13.9132602,100.6041987
Dusit,10300,107655,13.7818255,100.5180863
Huai Khwang,10310,78175,13.7699094,100.5864793
Khan Na Yao,10230,88678,13.8270581,100.674334
Khlong Sam Wa,10510,169489,13.8601042,100.7039625
Khlong San,10600,76446,13.7286594,100.5010205
Khlong Toei,10110,109041,13.7189146,100.5671855
Lak Si,10210,109770,13.8914715,100.5641546
Lat Krabang,10520,163175,13.7505781,100.7943199
Lat Phrao,10230,122182,13.8241729,100.6087118
Min Buri,10510,137251,13.8154818,100.7352666
Nong Chok,10530,157138,13.8563339,100.8630399
Nong Khaem,10160,150218,13.7054329,100.3432355
Pathum Wan,10330,53263,13.746183,100.5307787
Phasi Charoen,10160,129827,13.7239706,100.438497
Phaya Thai,10400,72952,13.7807784,100.5450702
Phra Khanong,10260,93482,13.6902667,100.6086055
Phra Nakhon,10200,57876,13.7573251,100.4951406
Pom Prap Sattru Phai,10100,51006,13.7514954,100.5108479
Prawet,10250,160671,13.6999565,100.6754809
Rat Burana,10140,86695,13.6715197,100.5087772
Ratchathewi,10400,73035,13.757966,100.5345012
Sai Mai,10220,188123,13.9047286,100.6572405
Samphanthawong,10100,27452,13.736151,100.5135894
Saphan Sung,10240,89825,13.7532766,100.700561
Sathon,10120,84916,13.7150398,100.5335358
Suan Luang,10250,115658,13.7355472,100.6409673
Taling Chan,10170,106604,13.781167,100.4265082
Thawi Watthana,10170,76351,13.7878207,100.3638201
Thon Buri,10600,119708,13.7078357,100.4867816
Thung Khru,10140,116473,13.6472369,100.4957628
Wang Thonglang,10310,114768,13.7864323,100.6086831
Watthana,10110,81623,13.7307942,100.5864445
Yan Nawa,10120,81521,13.6943097,100.5393642
